"U.S. Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Carbon dioxide",5120.957207036089,5062.956717790375,5174.22750657907,5272.850808250572,5364.279285279748,5425.259695882851,5612.982751633385,5688.142511024662,5733.280550498565,5803.917834036106,6010.135927923971,5907.739935383686,5946.308144551874,6010.145462850167,6112.654584187946,6132.183270219106,6052.686214908377,6130.12275952067,5915.118465170832,5480.72573147438,5679.715248584098,5546.116067320551,5344.085979727782,5480.156536706714,5528.681067176287,5376.473124678945,5252.932175086566,5212.1623454812925,5377.797353125838,5262.145074316442,4714.628031895326,5032.212819231044
"Methane",922.1671945789099,927.3508532665693,925.6741771662616,914.6736511845127,925.0416553602699,916.7901185661764,912.3556331529976,895.6607439205945,881.5744433492864,866.6649714522912,867.7692752715,853.7940665603747,855.3942855886344,851.0452056900724,857.5693180729695,852.3780121006416,855.0351192871991,863.1166603950378,869.4948991854047,861.2042435824408,860.3817794948795,839.3468402461491,828.3433945291428,832.0184872724732,825.2849488670864,838.3302061345485,799.318085204982,822.7244481751792,831.3879172715003,824.6636686652588,807.6647011552449,793.4152072487592
"Nitrous oxide",410.6755329715575,401.83265059743997,401.8968748884415,419.19491553249503,423.15749399698655,426.0737334088764,437.2191296102745,424.09976036416595,425.89262178984944,421.8645288615045,419.14790249379695,421.4884528431086,426.62490951303147,425.9649360362815,440.113990546281,426.8967510361575,422.55455458815345,434.8724579547045,416.617509405337,414.42446155331,415.4141143248425,419.077150081893,399.1536588685045,430.717411864717,434.95933878563756,432.65238551405696,414.52738908887903,422.93999691452547,437.22612827010596,417.58778853248947,399.8533644524545,405.12249284343744
"Fluorinated gases",91.43215120723569,83.49994578568268,87.38298492331369,87.35828174346682,90.93961447157164,107.80897959352288,118.07183894787603,124.85067417425662,138.72662884492968,136.98671438686114,138.33331150086642,127.86704172915526,135.45671235168805,128.80561894650927,135.72364518768467,138.33423257542188,141.81075010231095,152.36019302728565,154.5580919452738,150.9441742100366,159.0322868335711,165.2193940829669,162.74142023826175,163.03949982197489,167.61351749826457,170.27588748259632,170.55837102585363,172.31756570874404,172.79134037047075,177.6997523165201,180.1936123147149,187.29170995985845
"Land use and forestry carbon stock change",-938.8555570707573,-944.4180772926871,-936.8256285402829,-917.6304613758897,-931.831470348923,-902.814252183086,-923.4539966066297,-903.3996066967798,-898.6541896977102,-900.5331567528027,-902.0116353297858,-899.9375609846192,-867.1193529721864,-891.4022677801591,-791.2862580751784,-853.5285357165142,-882.5949783273438,-843.1247429804192,-824.6616583161599,-787.0140590430339,-807.3666166834983,-853.7809218355683,-849.3832298690069,-813.4922675588072,-826.850008609445,-752.2364852188495,-874.2414250425122,-842.5159304647563,-829.5008574704898,-768.2245018919436,-852.5344377146357,-832.0389795828282
"Net total",5606.376528723035,5531.222090147379,5652.355915016804,5776.447195335158,5871.586578759654,5973.118275268341,6157.175356737904,6229.3540827869,6280.820054784921,6328.90089198396,6533.37478186035,6410.951935531705,6496.664699033041,6524.558955742871,6754.775279919702,6696.263730214813,6589.491660558697,6737.347327917279,6531.127307390687,6120.284551777133,6307.176812553892,6115.978529895992,5884.941223494684,6092.439668107072,6129.688863717831,6065.495118591298,5763.094595363767,5787.628425814985,5989.701881567425,5913.8717819387675,5249.8052721031045,5586.00324970027
"Gross total",6487.330948300925,6418.406190302406,6534.880126599468,6639.525504822372,6745.166790679919,6821.933717587988,7023.5296286950415,7079.20686336324,7124.684268162991,7169.885428025518,7369.162971802466,7253.52230799373,7293.277737467147,7352.702361131847,7464.3649183960915,7477.358360856926,7407.921495292914,7511.447957814262,7294.541719429942,6840.74154205259,7058.197908363444,6907.203235714858,6670.533532343645,6841.6610929953085,6898.525595794155,6737.3586438195125,6578.432361745684,6561.8244398408115,6754.8316478355955,6617.916875876212,6025.973612747132,6340.2282923220855
